iter	simplex_id	ef_attempted	ef_ok	solver_status	termination_condition	ef_time_sec	K_ef	ef_obj	true_obj	ub_updated	UB_incumbent	ms_issue_count	ms_issue_scenarios	ms_issue_reasons	ms_issue_details	dual_bound_fail_count	dual_bound_fail_details	ms_cached_count	ms_cached_scenarios	cs_cached_count	cs_cached_scenarios	lb_simp_LB_sur	lb_simp_LB_linear	lb_simp_c_total_finite	lb_simp_c_total_all	lb_simp_ms_total	lb_simp_min_fverts_sum	lb_simp_lb_case	LB_global_end_sum	UB_global_end_sum	ms_lb_gt_primal_count	cs_lb_gt_primal_count
23	(19, 28, 29, 30)	True	True	ok	optimal	0.257	(-9.929700759947961, -99.99950134507064, 5.010998634681953e-09)	0.9846932361454747	4.923466496881538	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920006	4.912741	4.920006	4.920006	-0.008262	4.921003	all_ms_finite	4.920002	4.920839	0	0
24	(19, 29, 30, 31)	True	True	ok	optimal	0.360	(-9.932866819491549, -99.9999616375031, 0.8140370632863546)	0.9841778644038925	4.920889422643279	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920002	4.915766	4.920002	4.920002	-0.005159	4.920926	all_ms_finite	4.920031	4.920839	0	0
25	(17, 19, 20, 21)	True	True	ok	optimal	0.155	(-9.903280520578999, -99.99629365588608, 0.8161692383670451)	0.9841829793426992	4.920915134751219	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.266458	4.920031	4.920031	-0.663275	4.929733	all_ms_finite	4.920030	4.920839	0	0
26	(17, 19, 20, 33)	True	True	ok	optimal	0.151	(-9.903280734708261, -99.99629322747445, 0.816169239520788)	0.9841829793440144	4.92091513475764	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920030	4.268372	4.920030	4.920030	-0.661361	4.929733	all_ms_finite	4.920030	4.920839	0	0
27	(19, 20, 33, 34)	True	True	ok	optimal	0.150	(-9.90328072917544, -99.99629322727307, 0.8161692394600557)	0.98418297934493	4.920915134750969	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920030	4.811700	4.920030	4.920030	-0.118033	4.929733	all_ms_finite	4.920031	4.920839	0	0
28	(19, 20, 21, 33)	True	True	ok	optimal	0.262	(-9.903280459871498, -99.99629377553882, 0.8161692380228666)	0.9841829793424786	4.920915134776872	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.810088	4.920031	4.920031	-0.119645	4.929733	all_ms_finite	4.920031	4.920839	0	0
29	(19, 20, 33, 36)	True	True	ok	optimal	0.142	(-9.90328060458967, -99.99629348441738, 0.8161692388178352)	0.9841829793435005	4.9209151347696745	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.812970	4.920031	4.920031	-0.116763	4.929733	all_ms_finite	4.920030	4.920839	0	0
30	(19, 20, 36, 37)	True	True	ok	optimal	0.258	(-9.903280599034623, -99.99629348425988, 0.8161692387274748)	0.9841829793444161	4.920915134730635	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920030	4.825677	4.920030	4.920030	-0.104056	4.929733	all_ms_finite	4.920031	4.920839	0	0
31	(19, 20, 21, 36)	True	True	ok	optimal	0.165	(-9.903280390802072, -99.99629391284095, 0.8161692376456716)	0.9841829793421288	4.920915134791448	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.822784	4.920031	4.920031	-0.106949	4.929733	all_ms_finite	4.920031	4.920839	0	0
32	(19, 20, 36, 39)	True	True	ok	optimal	0.254	(-9.903280382445681, -99.99629391284016, 0.8161692378401473)	0.9841829793434871	4.92091513480789	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.825677	4.920031	4.920031	-0.104056	4.929733	all_ms_finite	4.920031	4.920839	0	0
