# debug_timelimit.txt — subproblems that hit Gurobi TimeLimit
# Format: [Iter N] [MS/CS TimeLimit] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., dual<primal=...

[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=19, dual_bound=0.9495201278784204, primal_obj=0.9495201278784204, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=0, dual_bound=0.9973765252119483, primal_obj=0.9973765252119484, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=1, dual_bound=0.9459729853311053, primal_obj=0.9459729853311055, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=2, dual_bound=0.9562434219662743, primal_obj=0.9562434219662743, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=3, dual_bound=1.0700789655348955, primal_obj=1.070078965534896, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=4, dual_bound=0.9694997624091658, primal_obj=0.9694997624091657, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=5, dual_bound=0.9433359290668613, primal_obj=0.9433359290668334, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=6, dual_bound=1.0130539300419803, primal_obj=1.0130539300419805, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=7, dual_bound=0.947632588188799, primal_obj=0.947632588188799, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=8, dual_bound=1.0163403672870246, primal_obj=1.0163403672870248, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=9, dual_bound=0.9573057849019528, primal_obj=0.9573057849019527, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=10, dual_bound=0.9652324418112033, primal_obj=0.9652324418112034, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=11, dual_bound=1.0376538578449814, primal_obj=1.0376538578449819, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=12, dual_bound=0.9524420351110123, primal_obj=0.9524420351110121, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=13, dual_bound=0.9790994988856474, primal_obj=0.9790994988856473, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=14, dual_bound=0.9960731593406303, primal_obj=0.9960731593406307, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=15, dual_bound=1.0781156565461407, primal_obj=1.078115656546141, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=16, dual_bound=0.9555505146203404, primal_obj=0.9555505146203405, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=17, dual_bound=0.9561483119376244, primal_obj=0.9561483119376244, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=3, verts=(3, 4, 6, 7), scenario=19, dual_bound=0.9483957106473886, primal_obj=0.9483957106473888, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=4, verts=(2, 3, 4, 6), scenario=0, dual_bound=1.003743513892587, primal_obj=1.0037435138925874, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(1, 3, 4, 5), scenario=2, dual_bound=0.9562744549781289, primal_obj=0.9562744549781289, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(1, 3, 4, 5), scenario=5, dual_bound=0.9429414464563031, primal_obj=0.9429414464563027, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(1, 3, 4, 5), scenario=12, dual_bound=0.9521065434863318, primal_obj=0.9521065434863317, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(1, 3, 4, 5), scenario=17, dual_bound=0.9545819137426499, primal_obj=0.9545819137426502, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(1, 3, 4, 5), scenario=19, dual_bound=0.9486242140914183, primal_obj=0.9486242140914175, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(0, 1, 4, 8), scenario=0, dual_bound=0.9960025786560704, primal_obj=0.9960025786560704, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=5, verts=(0, 1, 4, 8), scenario=10, dual_bound=0.9643375547316425, primal_obj=0.9643375547316425, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=0, dual_bound=-1.2286219675544585, primal_obj=-1.2286219675544585, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=0, dual_bound=0.9964804732937661, primal_obj=0.996480473293766, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=1, dual_bound=-1.5168155245030241, primal_obj=-1.5168155245030246, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=1, dual_bound=0.9451609198070346, primal_obj=0.9451609198070346, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=2, dual_bound=-1.427282626945858, primal_obj=-1.4272826269458583, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=2, dual_bound=0.9560310012796511, primal_obj=0.956031001279651, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=3, dual_bound=-1.187130085646387, primal_obj=-1.187130085646387, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=3, dual_bound=1.0551990101686242, primal_obj=1.0551990101686244, dual<primal=True
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=4, dual_bound=-1.3515400856401214, primal_obj=-1.351540085640121, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=4, dual_bound=0.9685253387865808, primal_obj=0.9685253387865809, dual<primal=True
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=6, dual_bound=-1.1652773573740236, primal_obj=-1.1652773573740238, dual<primal=False
