# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=14, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0419s, status=time_limit, dual_bound=0.9990738025997352, primal_obj=0.9990738025997351
[Iter 0] scenario=15, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1591s, status=time_limit, dual_bound=1.0942578521966997, primal_obj=1.0942578521966995
[Iter 0] scenario=16, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0086s, status=time_limit, dual_bound=0.9575348310700627, primal_obj=0.957534831070063
[Iter 0] scenario=17, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1584s, status=time_limit, dual_bound=0.9582477117272976, primal_obj=0.9582477117272973
[Iter 0] scenario=18, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0785s, status=time_limit, dual_bound=0.9408916418181439, primal_obj=0.9408916418181439
[Iter 0] scenario=19, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0850s, status=time_limit, dual_bound=0.9495201278784204, primal_obj=0.9495201278784204
[Iter 0] scenario=0, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0282s, status=time_limit, dual_bound=0.9973765252119483, primal_obj=0.9973765252119484
[Iter 0] scenario=1, simplex_idx=3, verts=(3, 4, 6, 7), time=3.1894s, status=time_limit, dual_bound=0.9459729853311053, primal_obj=0.9459729853311055
[Iter 0] scenario=2, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0843s, status=time_limit, dual_bound=0.9562434219662743, primal_obj=0.9562434219662743
[Iter 0] scenario=3, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0489s, status=time_limit, dual_bound=1.0700789655348955, primal_obj=1.070078965534896
[Iter 0] scenario=4, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0474s, status=time_limit, dual_bound=0.9694997624091658, primal_obj=0.9694997624091657
[Iter 0] scenario=5, simplex_idx=3, verts=(3, 4, 6, 7), time=3.2145s, status=time_limit, dual_bound=0.9433359290668613, primal_obj=0.9433359290668334
[Iter 0] scenario=6, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0099s, status=time_limit, dual_bound=1.0130539300419803, primal_obj=1.0130539300419805
[Iter 0] scenario=7, simplex_idx=3, verts=(3, 4, 6, 7), time=3.1675s, status=time_limit, dual_bound=0.947632588188799, primal_obj=0.947632588188799
[Iter 0] scenario=8, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0181s, status=time_limit, dual_bound=1.0163403672870246, primal_obj=1.0163403672870248
[Iter 0] scenario=9, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0146s, status=time_limit, dual_bound=0.9573057849019528, primal_obj=0.9573057849019527
[Iter 0] scenario=10, simplex_idx=3, verts=(3, 4, 6, 7), time=3.2317s, status=time_limit, dual_bound=0.9652324418112033, primal_obj=0.9652324418112034
[Iter 0] scenario=11, simplex_idx=3, verts=(3, 4, 6, 7), time=3.1301s, status=time_limit, dual_bound=1.0376538578449814, primal_obj=1.0376538578449819
[Iter 0] scenario=12, simplex_idx=3, verts=(3, 4, 6, 7), time=3.3406s, status=time_limit, dual_bound=0.9524420351110123, primal_obj=0.9524420351110121
[Iter 0] scenario=13, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0108s, status=time_limit, dual_bound=0.9790994988856474, primal_obj=0.9790994988856473
[Iter 0] scenario=14, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0887s, status=time_limit, dual_bound=0.9960731593406303, primal_obj=0.9960731593406307
[Iter 0] scenario=15, simplex_idx=3, verts=(3, 4, 6, 7), time=3.4199s, status=time_limit, dual_bound=1.0781156565461407, primal_obj=1.078115656546141
[Iter 0] scenario=16, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0176s, status=time_limit, dual_bound=0.9555505146203404, primal_obj=0.9555505146203405
[Iter 0] scenario=17, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0717s, status=time_limit, dual_bound=0.9561483119376244, primal_obj=0.9561483119376244
[Iter 0] scenario=19, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0455s, status=time_limit, dual_bound=0.9483957106473886, primal_obj=0.9483957106473888
[Iter 0] scenario=0, simplex_idx=4, verts=(2, 3, 4, 6), time=3.0179s, status=time_limit, dual_bound=1.003743513892587, primal_obj=1.0037435138925874
[Iter 0] scenario=2, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0129s, status=time_limit, dual_bound=0.9562744549781289, primal_obj=0.9562744549781289
[Iter 0] scenario=5, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0300s, status=time_limit, dual_bound=0.9429414464563031, primal_obj=0.9429414464563027
[Iter 0] scenario=12, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0088s, status=time_limit, dual_bound=0.9521065434863318, primal_obj=0.9521065434863317
[Iter 0] scenario=17, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0072s, status=time_limit, dual_bound=0.9545819137426499, primal_obj=0.9545819137426502
[Iter 0] scenario=19, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0291s, status=time_limit, dual_bound=0.9486242140914183, primal_obj=0.9486242140914175
[Iter 0] scenario=0, simplex_idx=5, verts=(0, 1, 4, 8), time=3.0123s, status=time_limit, dual_bound=0.9960025786560704, primal_obj=0.9960025786560704
[Iter 0] scenario=10, simplex_idx=5, verts=(0, 1, 4, 8), time=3.1116s, status=time_limit, dual_bound=0.9643375547316425, primal_obj=0.9643375547316425
[Iter 0] scenario=0, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0270s, status=time_limit, dual_bound=0.9964804732937661, primal_obj=0.996480473293766
[Iter 0] scenario=1, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0343s, status=time_limit, dual_bound=0.9451609198070346, primal_obj=0.9451609198070346
[Iter 0] scenario=2, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0203s, status=time_limit, dual_bound=0.9560310012796511, primal_obj=0.956031001279651
[Iter 0] scenario=3, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0224s, status=time_limit, dual_bound=1.0551990101686242, primal_obj=1.0551990101686244
[Iter 0] scenario=4, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0283s, status=time_limit, dual_bound=0.9685253387865808, primal_obj=0.9685253387865809
[Iter 0] scenario=6, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0283s, status=time_limit, dual_bound=1.011671971258397, primal_obj=1.0116719712583973
[Iter 0] scenario=8, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0839s, status=time_limit, dual_bound=1.0114775399065636, primal_obj=1.0114775399065636
[Iter 0] scenario=9, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0694s, status=time_limit, dual_bound=0.9570930586284426, primal_obj=0.9570930586284426
[Iter 0] scenario=10, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0441s, status=time_limit, dual_bound=0.9645145363708663, primal_obj=0.9645145363708664
[Iter 0] scenario=11, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0596s, status=time_limit, dual_bound=1.0356751510426336, primal_obj=1.0356751510426339
[Iter 0] scenario=12, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0948s, status=time_limit, dual_bound=0.951794678334019, primal_obj=0.9517946783340188
[Iter 0] scenario=13, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0493s, status=time_limit, dual_bound=0.9744556873946929, primal_obj=0.9744556873946928
[Iter 0] scenario=14, simplex_idx=6, verts=(0, 3, 4, 8), time=3.2742s, status=time_limit, dual_bound=1.0054114594531551, primal_obj=1.0054114594531551
[Iter 0] scenario=15, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0175s, status=time_limit, dual_bound=1.0735371678579673, primal_obj=1.073537167857968
[Iter 0] scenario=16, simplex_idx=6, verts=(0, 3, 4, 8), time=3.4234s, status=time_limit, dual_bound=0.9546467101603459, primal_obj=0.9546467101603457
[Iter 0] scenario=17, simplex_idx=6, verts=(0, 3, 4, 8), time=3.2087s, status=time_limit, dual_bound=0.9537152936099393, primal_obj=0.9537152936099393
[Iter 0] scenario=19, simplex_idx=6, verts=(0, 3, 4, 8), time=3.0622s, status=time_limit, dual_bound=0.9481765585046132, primal_obj=0.9481765585046131
[Iter 0] scenario=0, simplex_idx=7, verts=(0, 1, 3, 8), time=3.7421s, status=time_limit, dual_bound=0.9960030768961174, primal_obj=0.9960030768961176
[Iter 0] scenario=1, simplex_idx=7, verts=(0, 1, 3, 8), time=3.4786s, status=time_limit, dual_bound=0.9451262700425319, primal_obj=0.9451262700425322
[Iter 0] scenario=2, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0190s, status=time_limit, dual_bound=0.9567834120490982, primal_obj=0.9567834120490982
[Iter 0] scenario=3, simplex_idx=7, verts=(0, 1, 3, 8), time=3.2327s, status=time_limit, dual_bound=1.0550014305085098, primal_obj=1.0550014305085098
[Iter 0] scenario=4, simplex_idx=7, verts=(0, 1, 3, 8), time=3.4657s, status=time_limit, dual_bound=0.968337628799988, primal_obj=0.9683376287999882
[Iter 0] scenario=5, simplex_idx=7, verts=(0, 1, 3, 8), time=3.7205s, status=time_limit, dual_bound=1.0374245479772295, primal_obj=1.0374245479772295
