iter,eps,yL,yU,diam,true_min,min_relax,hausdorff_error,argmin_y,ms1,ms2,c1,c2,Q1_a,Q1_b,Q1_c,Q2_a,Q2_b,Q2_c
10,0.0009765625,6.5290234375,6.5309765625,0.001953125,-59.23361408882082,-59.23407684587822,0.00046275705739873274,6.529966145833334,1.396927018504357e-10,2.448161325219189e-06,-14.302871362940273,-44.94234630804067,27759.825217200796,-362562.9571574012,1183817.8755701915,0.0,11.813046625110777,-122.07000703983054
11,0.00048828125,6.52951171875,6.53048828125,0.0009765625,-59.23361408882082,-59.23393600616884,0.0003219173480175641,6.529982747395834,3.725233455043053e-10,1.2262735822332615e-06,-14.302871362940273,-44.9365441743838,85453.94733417196,-1116062.6767136448,3644041.752567153,4.441661467099741e-19,11.633116592169703,-120.89511651481452
12,0.000244140625,6.529755859375,6.530244140625,0.00048828125,-59.23361408882082,-59.23398714991317,0.00037306109234691576,6.5299912109375,3.725233455043053e-10,2.562404688433162e-06,-14.302871362940273,-44.933643364497584,290644.06147632614,-3795874.54168088,12393722.092714017,4.395377252485481e-10,10.739582505796896,-115.06049774011169
13,0.0001220703125,6.5298779296875,6.5301220703125,0.000244140625,-59.23361408882082,-59.23406360222962,0.00044951340879606505,6.529995524088542,5.9604587931971764e-09,0.0,-14.302871362940273,-44.93219302378161,1060231.2443196524,-13846741.093124334,45209990.56875391,3.8763815714529535e-07,15.012442072771202,-142.96238830934104
14,6.103515625e-05,6.52993896484375,6.53006103515625,0.0001220703125,-59.23361408882082,-59.23424814220803,0.0006340533872091214,6.529997721354167,7.5101851848558e-07,-1.4210854715202004e-13,-14.302871362940273,-44.93146786947936,4036223.020003353,-52713309.614877254,172109715.30805504,1.317608557673261e-19,21.476189180794847,-185.17084374613736
15,3.0517578125e-05,6.529969482421875,6.530030517578125,6.103515625e-05,-59.23361408882082,-59.23393095146415,0.00031686264333075087,6.529998881022136,1.1393173694610539,2.842170943040401e-14,-14.302871362940273,-44.931105296342054,15735361.424979353,-205504288.70494676,670973016.8141649,6.346335467959412e-22,21.47611861596182,-185.17009011945325
16,1.52587890625e-05,6.529984741210938,6.530015258789063,3.0517578125e-05,-59.23361408882082,-59.23377250311291,0.00015841429208762747,6.529999440511068,0.00018272399901775316,2.842170943040401e-14,-14.302871362940273,-44.93092401077682,62119167.42221224,-811277258.5092744,2648823277.6281514,3.776008341613034e-20,21.47506318298372,-185.16305170999618
17,7.62939453125e-06,6.529992370605469,6.5300076293945315,1.52587890625e-05,-59.23361408882082,-59.23369157276773,7.748394691020621e-05,6.529999801635743,-1.141072623056516e-07,2.842170943040401e-14,-14.302871362940273,-44.93083336824506,246889358.46132398,-3224376848.9485393,10527596364.117247,1.205147130089354e-22,21.47819685380314,-185.18344140465544
18,3.814697265625e-06,6.529996185302735,6.530003814697266,7.62939453125e-06,-59.23361408882082,-59.233659409982174,4.532116135180786e-05,6.529996185302735,-2.1671553440683056e-13,4.2380676745779056e-09,-14.302871362940273,-44.9307880470419,0.0,3387.5067863547947,-22134.735081143695,2.7033543972104157,-23.425143385543546,-7.238020938589121
19,1.9073486328125e-06,6.529998092651367,6.530001907348633,3.814697265625e-06,-59.23361408882082,-59.233636749396275,2.2660575453414822e-05,6.529998092651367,1.4210854715202004e-13,4.241442752572766e-09,-14.302871362940273,-44.930765386456,0.0,6776.5078751324645,-44264.912207426496,2.7033543955957575,-23.425143375821804,-7.238020933179832
