# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=17, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0301s, status=time_limit, dual_bound=0.9546148321128508, primal_obj=0.9546148321128507
[Iter 0] scenario=19, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0304s, status=time_limit, dual_bound=0.9486242140914183, primal_obj=0.9486242140914175
[Iter 0] scenario=0, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0466s, status=time_limit, dual_bound=0.9973765252109266, primal_obj=0.9973765252109265
[Iter 0] scenario=1, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0240s, status=time_limit, dual_bound=0.9452014538046043, primal_obj=0.9452014538046043
[Iter 0] scenario=2, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0971s, status=time_limit, dual_bound=0.9559881883388753, primal_obj=0.9559881883388753
[Iter 0] scenario=3, simplex_idx=5, verts=(4, 6, 7, 8), time=3.1247s, status=time_limit, dual_bound=1.07007863319451, primal_obj=1.0700786331945102
[Iter 0] scenario=4, simplex_idx=5, verts=(4, 6, 7, 8), time=3.3423s, status=time_limit, dual_bound=0.9691110637140297, primal_obj=0.9691110637140296
[Iter 0] scenario=6, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0375s, status=time_limit, dual_bound=1.0130536023265766, primal_obj=1.0130536023265766
[Iter 0] scenario=8, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0814s, status=time_limit, dual_bound=1.0163400405325367, primal_obj=1.0163400405325367
[Iter 0] scenario=9, simplex_idx=5, verts=(4, 6, 7, 8), time=3.1586s, status=time_limit, dual_bound=0.9573054569291016, primal_obj=0.9573054569291017
[Iter 0] scenario=10, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0271s, status=time_limit, dual_bound=0.9652324404606997, primal_obj=0.9652324404606998
[Iter 0] scenario=11, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0196s, status=time_limit, dual_bound=1.037653533572153, primal_obj=1.0376535335721535
[Iter 0] scenario=12, simplex_idx=5, verts=(4, 6, 7, 8), time=3.6186s, status=time_limit, dual_bound=0.9519153558164379, primal_obj=0.951915355816438
[Iter 0] scenario=13, simplex_idx=5, verts=(4, 6, 7, 8), time=3.2544s, status=time_limit, dual_bound=0.9745300851962125, primal_obj=0.9745300851962124
[Iter 0] scenario=14, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0301s, status=time_limit, dual_bound=0.9960728312991155, primal_obj=0.9960728312991156
[Iter 0] scenario=15, simplex_idx=5, verts=(4, 6, 7, 8), time=3.1462s, status=time_limit, dual_bound=1.078143846279328, primal_obj=1.078143846279328
[Iter 0] scenario=16, simplex_idx=5, verts=(4, 6, 7, 8), time=3.1004s, status=time_limit, dual_bound=0.954813715314247, primal_obj=0.954813715314247
[Iter 0] scenario=17, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0145s, status=time_limit, dual_bound=0.954166325588302, primal_obj=0.9541663255883016
[Iter 0] scenario=19, simplex_idx=5, verts=(4, 6, 7, 8), time=3.0764s, status=time_limit, dual_bound=0.9483953920426408, primal_obj=0.9483953920426406
[Iter 0] scenario=0, simplex_idx=6, verts=(3, 4, 7, 8), time=3.9278s, status=time_limit, dual_bound=1.0081542804955426, primal_obj=1.0081542804955423
[Iter 0] scenario=1, simplex_idx=6, verts=(3, 4, 7, 8), time=3.2743s, status=time_limit, dual_bound=0.9453235649364633, primal_obj=0.9453235649364633
[Iter 0] scenario=2, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1135s, status=time_limit, dual_bound=0.9561586018456685, primal_obj=0.9561586018456684
[Iter 0] scenario=3, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1837s, status=time_limit, dual_bound=1.075344186053462, primal_obj=1.0753441860534623
[Iter 0] scenario=4, simplex_idx=6, verts=(3, 4, 7, 8), time=3.2446s, status=time_limit, dual_bound=0.9708711601316543, primal_obj=0.970871157858894
[Iter 0] scenario=5, simplex_idx=6, verts=(3, 4, 7, 8), time=3.2021s, status=time_limit, dual_bound=0.9430140908489143, primal_obj=0.9430140908489145
[Iter 0] scenario=6, simplex_idx=6, verts=(3, 4, 7, 8), time=3.3679s, status=time_limit, dual_bound=1.0145300641922061, primal_obj=1.014530064192206
[Iter 0] scenario=8, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1693s, status=time_limit, dual_bound=1.0197545934196721, primal_obj=1.0197545934196721
[Iter 0] scenario=9, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1589s, status=time_limit, dual_bound=0.9603314322904075, primal_obj=0.9603314322904073
[Iter 0] scenario=10, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1337s, status=time_limit, dual_bound=0.96613827369677, primal_obj=0.9661382736967699
[Iter 0] scenario=11, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1500s, status=time_limit, dual_bound=1.0394803943934212, primal_obj=1.0394803943934212
[Iter 0] scenario=12, simplex_idx=6, verts=(3, 4, 7, 8), time=3.2473s, status=time_limit, dual_bound=0.9531072605237014, primal_obj=0.9531072605237013
[Iter 0] scenario=13, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1547s, status=time_limit, dual_bound=0.9752081856579284, primal_obj=0.9752081856579286
[Iter 0] scenario=14, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1315s, status=time_limit, dual_bound=0.9973991091800423, primal_obj=0.9973991091800419
[Iter 0] scenario=15, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1869s, status=time_limit, dual_bound=1.0822190647806373, primal_obj=1.0822190647806373
[Iter 0] scenario=16, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1866s, status=time_limit, dual_bound=0.9564842823785674, primal_obj=0.9564842823785676
[Iter 0] scenario=17, simplex_idx=6, verts=(3, 4, 7, 8), time=3.1284s, status=time_limit, dual_bound=0.9555027772234362, primal_obj=0.9555027772234358
[Iter 0] scenario=19, simplex_idx=6, verts=(3, 4, 7, 8), time=3.0916s, status=time_limit, dual_bound=0.948733611586781, primal_obj=0.948733611586781
[Iter 0] scenario=0, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0373s, status=time_limit, dual_bound=1.000277407219104, primal_obj=1.0002774072191039
[Iter 0] scenario=1, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0247s, status=time_limit, dual_bound=0.9453277069810188, primal_obj=0.945327706981019
[Iter 0] scenario=4, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0135s, status=time_limit, dual_bound=0.970567217818611, primal_obj=0.9705672178186107
[Iter 0] scenario=5, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0576s, status=time_limit, dual_bound=0.9430161820553649, primal_obj=0.943016182055365
[Iter 0] scenario=7, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0129s, status=time_limit, dual_bound=0.9469910252785031, primal_obj=0.9469910252785031
[Iter 0] scenario=9, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0114s, status=time_limit, dual_bound=0.9585161392319643, primal_obj=0.9585161392319642
[Iter 0] scenario=10, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0537s, status=time_limit, dual_bound=0.967149702839954, primal_obj=0.9671497028399542
[Iter 0] scenario=12, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0783s, status=time_limit, dual_bound=0.9521206331538471, primal_obj=0.952120633153847
[Iter 0] scenario=13, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0524s, status=time_limit, dual_bound=0.9752505063418835, primal_obj=0.9752505063418835
[Iter 0] scenario=16, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0285s, status=time_limit, dual_bound=0.9555122887854779, primal_obj=0.9555122887854776
[Iter 0] scenario=17, simplex_idx=7, verts=(3, 4, 6, 8), time=3.0509s, status=time_limit, dual_bound=0.9547594230566502, primal_obj=0.9547594230566502
[Iter 1] scenario=0, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0701s, status=time_limit, dual_bound=0.9973801322514556, primal_obj=0.9973801322514555
[Iter 1] scenario=1, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0122s, status=time_limit, dual_bound=0.9452018955340568, primal_obj=0.9452018955340568
[Iter 1] scenario=2, simplex_idx=7, verts=(4, 6, 7, 9), time=3.2839s, status=time_limit, dual_bound=0.9572918765052534, primal_obj=0.9572918765052534
[Iter 1] scenario=4, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0092s, status=time_limit, dual_bound=0.969113659480989, primal_obj=0.9691136594809892
