# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 40] scenario=3, simplex_idx=66, verts=(1, 8, 10, 48), time=0.1805s, status=infeasible, dual_bound=None, primal_obj=-44980.710441230316
[Iter 41] scenario=3, simplex_idx=67, verts=(1, 8, 10, 49), time=0.1971s, status=infeasible, dual_bound=None, primal_obj=-44753.46292127289
[Iter 42] scenario=3, simplex_idx=68, verts=(1, 8, 10, 50), time=0.1888s, status=infeasible, dual_bound=None, primal_obj=-44749.24834278268
[Iter 43] scenario=3, simplex_idx=70, verts=(1, 8, 10, 51), time=0.1825s, status=infeasible, dual_bound=None, primal_obj=-50771.005945988945
[Iter 44] scenario=3, simplex_idx=71, verts=(1, 8, 10, 52), time=0.1947s, status=infeasible, dual_bound=None, primal_obj=-50752.293021295656
[Iter 45] scenario=3, simplex_idx=72, verts=(1, 8, 10, 53), time=0.1732s, status=infeasible, dual_bound=None, primal_obj=-50733.94489592451
[Iter 46] scenario=3, simplex_idx=73, verts=(1, 8, 53, 54), time=0.1707s, status=infeasible, dual_bound=None, primal_obj=-50830.993428127615
[Iter 47] scenario=3, simplex_idx=74, verts=(1, 8, 12, 55), time=0.1949s, status=infeasible, dual_bound=None, primal_obj=-918.5688015142564
[Iter 48] scenario=3, simplex_idx=75, verts=(1, 8, 12, 56), time=0.1734s, status=infeasible, dual_bound=None, primal_obj=-74876.02646898503
[Iter 49] scenario=3, simplex_idx=76, verts=(1, 8, 13, 57), time=0.1932s, status=infeasible, dual_bound=None, primal_obj=-10966.54571104902
[Iter 50] scenario=3, simplex_idx=77, verts=(1, 8, 13, 58), time=0.1790s, status=infeasible, dual_bound=None, primal_obj=-78175.76841143404
[Iter 51] scenario=3, simplex_idx=78, verts=(1, 8, 13, 59), time=0.1921s, status=infeasible, dual_bound=None, primal_obj=-78175.9555939821
[Iter 52] scenario=3, simplex_idx=80, verts=(1, 8, 31, 60), time=0.1833s, status=infeasible, dual_bound=None, primal_obj=-780.1952030203744
[Iter 53] scenario=3, simplex_idx=81, verts=(1, 8, 60, 61), time=0.1915s, status=infeasible, dual_bound=None, primal_obj=-820.0897836829612
[Iter 54] scenario=3, simplex_idx=83, verts=(1, 8, 60, 62), time=0.1827s, status=infeasible, dual_bound=None, primal_obj=-839.23267491028
[Iter 56] scenario=3, simplex_idx=86, verts=(1, 8, 14, 64), time=0.1717s, status=infeasible, dual_bound=None, primal_obj=-841.8165854832204
[Iter 57] scenario=3, simplex_idx=88, verts=(1, 8, 14, 65), time=0.1380s, status=infeasible, dual_bound=None, primal_obj=-787.325737826938
[Iter 58] scenario=3, simplex_idx=89, verts=(1, 8, 14, 66), time=0.3369s, status=infeasible, dual_bound=None, primal_obj=-787.3196920199517
[Iter 59] scenario=3, simplex_idx=91, verts=(1, 8, 14, 67), time=0.3513s, status=infeasible, dual_bound=None, primal_obj=-787.3232398006999
[Iter 60] scenario=3, simplex_idx=93, verts=(1, 8, 14, 68), time=0.3370s, status=infeasible, dual_bound=None, primal_obj=-787.3276168684309
[Iter 62] scenario=3, simplex_idx=95, verts=(1, 8, 19, 70), time=0.3164s, status=infeasible, dual_bound=None, primal_obj=-78887.82870462532
[Iter 63] scenario=3, simplex_idx=98, verts=(1, 8, 70, 71), time=0.3326s, status=infeasible, dual_bound=None, primal_obj=-811.5943999828653
[Iter 65] scenario=3, simplex_idx=100, verts=(1, 8, 13, 73), time=0.3341s, status=infeasible, dual_bound=None, primal_obj=-837.3664367686746
[Iter 66] scenario=3, simplex_idx=102, verts=(1, 8, 13, 74), time=0.3292s, status=infeasible, dual_bound=None, primal_obj=-780.1972377347194
[Iter 67] scenario=3, simplex_idx=103, verts=(1, 8, 13, 75), time=0.3105s, status=infeasible, dual_bound=None, primal_obj=-78176.39128616518
[Iter 68] scenario=3, simplex_idx=104, verts=(1, 8, 13, 76), time=0.2769s, status=infeasible, dual_bound=None, primal_obj=-78176.20842482078
[Iter 69] scenario=3, simplex_idx=105, verts=(1, 8, 13, 77), time=0.3751s, status=infeasible, dual_bound=None, primal_obj=-780.1978440955758
[Iter 70] scenario=3, simplex_idx=107, verts=(1, 8, 13, 78), time=0.1382s, status=infeasible, dual_bound=None, primal_obj=-780.1984205779111
[Iter 71] scenario=3, simplex_idx=108, verts=(1, 8, 13, 79), time=0.1453s, status=infeasible, dual_bound=None, primal_obj=-780.196997818089
[Iter 72] scenario=3, simplex_idx=110, verts=(1, 8, 13, 80), time=0.1596s, status=infeasible, dual_bound=None, primal_obj=-780.1981850415796
[Iter 73] scenario=3, simplex_idx=111, verts=(1, 8, 13, 81), time=0.1241s, status=infeasible, dual_bound=None, primal_obj=-78176.56221858927
[Iter 74] scenario=3, simplex_idx=112, verts=(1, 8, 53, 82), time=0.1189s, status=infeasible, dual_bound=None, primal_obj=-78176.34069431928
[Iter 75] scenario=3, simplex_idx=113, verts=(1, 8, 53, 83), time=0.1259s, status=infeasible, dual_bound=None, primal_obj=-826.3529496004909
[Iter 75] scenario=3, simplex_idx=114, verts=(1, 8, 82, 83), time=0.1229s, status=infeasible, dual_bound=None, primal_obj=-838.0832207042174
[Iter 76] scenario=3, simplex_idx=114, verts=(1, 8, 53, 84), time=0.1236s, status=infeasible, dual_bound=None, primal_obj=-877.368644618812
[Iter 76] scenario=3, simplex_idx=115, verts=(1, 8, 83, 84), time=0.1781s, status=infeasible, dual_bound=None, primal_obj=-860.3037237185802
[Iter 78] scenario=3, simplex_idx=117, verts=(1, 8, 83, 86), time=0.1881s, status=infeasible, dual_bound=None, primal_obj=-866.192539280496
[Iter 79] scenario=3, simplex_idx=118, verts=(1, 8, 83, 87), time=0.1821s, status=infeasible, dual_bound=None, primal_obj=-867.7600715430252
[Iter 81] scenario=3, simplex_idx=121, verts=(1, 8, 83, 89), time=0.1233s, status=infeasible, dual_bound=None, primal_obj=-510.19692181069513
[Iter 81] scenario=3, simplex_idx=122, verts=(1, 8, 82, 89), time=0.1392s, status=infeasible, dual_bound=None, primal_obj=-884.5955075864748
[Iter 96] scenario=3, simplex_idx=147, verts=(1, 8, 12, 104), time=0.1263s, status=infeasible, dual_bound=None, primal_obj=-545.7013094932493
[Iter 97] scenario=3, simplex_idx=148, verts=(1, 8, 12, 105), time=0.1292s, status=infeasible, dual_bound=None, primal_obj=-74876.20224220361
[Iter 98] scenario=3, simplex_idx=150, verts=(1, 8, 12, 106), time=0.1237s, status=infeasible, dual_bound=None, primal_obj=-74875.82602477405
[Iter 99] scenario=3, simplex_idx=152, verts=(1, 8, 12, 107), time=0.1246s, status=infeasible, dual_bound=None, primal_obj=-74876.02656980992
[Iter 100] scenario=3, simplex_idx=154, verts=(1, 8, 12, 108), time=0.1267s, status=infeasible, dual_bound=None, primal_obj=-74876.10395157975
[Iter 101] scenario=3, simplex_idx=155, verts=(1, 8, 12, 109), time=0.1282s, status=infeasible, dual_bound=None, primal_obj=-74876.09719626409
[Iter 102] scenario=3, simplex_idx=157, verts=(1, 8, 12, 110), time=0.1441s, status=infeasible, dual_bound=None, primal_obj=-74876.07920532099
